A year from now you may wish you had started today.,Karen Lamb
"There is one quality which one must possess to win - definiteness of purpose, the knowledge of what one wants, and a burning desire to possess it.",Napoleon Hill
Our intention creates our reality.,Wayne Dyer
"Failure is not fatal, but failure to change might be.",John Wooden
Every person above the ordinary has a certain mission that they are called to fulfill.,Aristotle
The person who goes farthest is generally the one who is willing to do and dare. The sure-thing boat never gets far from shore.,Dale Carnegie
A journey of a thousand miles begins with a single step.,Confucius
Work out your own salvation. Do not depend on others.,Buddha
Death is not the greatest loss in life. The greatest loss is what dies inside us while we live.,Norman Cousins
He who is fixed to a star does not change his mind.,Leonardo da Vinci
"An idea can turn to dust or magic, depending on the talent that rubs against it.",Bill Bernbach
Optimism is the faith that leads to achievement.,Helen Keller
Admiration for a quality or an art can be so strong that it deters us from striving to possess it.,Friedrich Nietzsche
"It's not what we do once in a while that shapes our lives, but what we do consistently.",Anthony Robbins
Don't wait. The time will never be just right.,Napoleon Hill
Change brings opportunity.,Nido Qubein
Empty pockets never held anyone back. Only empty heads and empty hearts can do that.,Norman Vincent Peale
Chance favors those in motion.,James Austin
"If you don't like something change it; if you can't change it, change the way you think about it.",Mary Engelbreit
"If you are not willing to risk the unusual, you will have to settle for the ordinary.",Jim Rohn
We can't solve problems by using the same kind of thinking we used when we created them.,Albert Einstein
"To have a great idea, have a lot of them.",Thomas Edison
He is able who thinks he is able.,Buddha
Everything you are against weakens you. Everything you are for empowers you.,Wayne Dyer
"Whatever you are, be a good one.",Abraham Lincoln
"If you put off everything till you're sure of it, you'll never get anything done.",Norman Vincent Peale
Too many of us are not living our dreams because we are living our fears.,Les Brown
Courage is the first of human qualities because it is the quality which guarantees the others.,Aristotle
We are not interested in the possibilities of defeat; they do not exist.,Queen Victoria
You don't drown by falling in the water; you drown by staying there.,Edwin Louis Cole
A statue has never been set up in honor of a critic.,Jean Sibelius
A professional is someone who can do his best work when he doesn't feel like it.,Alistair Cooke
"If you don’t have a vision, then your reality will always be determined by other’s perceptions.",Melanee Addison
"To the mind that is still, the whole universe surrenders.ins",Lao Tzu
"If you don’t know where you are going, every road will get you nowhere.",Henry Kissinger
You cannot be lonely if you like the person you're alone with.,Wayne Dyer
"If you don't design your own life plan, chances are you'll fall into someone else's plan. ",Jim Rohn
Nine tenths of education is encouragement.,Anatole France
"Remember, a real decision is measured by the fact that you've taken new action. If there's no action, you haven't truly decided.",Anthony Robbins
How will the world be different tomorrow as a result of our meeting today?,Kathie Dannemiller
"You can never get rich, or start the creative power into action, by sending out unformed longings and vague desires.",Wallace Wattles
"You have enemies? Good. That means you've stood up for something, sometime in your life.",Winston Churchill
It’s not whether you get knocked down; it’s whether you get up.,Vince Lombardi
"He who is not contented with what he has, would not be contented with what he would like to have.",Socrates
"The more you judge, the less you love",Honore Balzac
Just trust yourself. Then you will know how to live.,Johann Wolfgang von Goethe
"There are no mistakes or failures, only lessons.",Denis Waitley
"Progress lies not in enhancing what is, but in advancing toward what will be.",Kahlil Gibran
Restlessness and discontent are the first necessities of progress.,Thomas Edison
Imagination is more important than knowledge.,Albert Einstein
Whatever you believe with feeling becomes your reality.,Brian Tracy
Setting goals is the first step in turning the invisible into the visible.,Anthony Robbins
People are where they are because that is exactly where they really want to be - whether they will admit that or not.,Earl Nightingale
I'd rather have a lot of talent and a little experience than a lot of experience and a little talent.,John Wooden
"A woman is like a tea bag, you cannot tell how strong she is until you put her in hot water",Nancy Reagan 
Adversity has been considered the state in which a man most easily becomes acquainted with himself.,Samuel Johnson
"There are two primary choices in life: to accept conditions as they exist, or accept the responsibility for changing them.",Denis Waitley
Genius is one per cent inspiration and ninety-nine per cent perspiration.,Thomas Edison
"You gain strength, courage and confidence by every experience in which you really stop to look fear in the face. You must do the things you think you cannot",Eleanor Roosevelt
A dream is just a dream. A goal is a dream with a plan and a deadline.,Harvuy Mackay 
"The essential conditions of everything you do must be choice, love, passion.",Nadia Boulanger
Fear always lurks behind perfectionism,David Burns
Learning becomes more miraculous and ever present when the human heart is engaged.,Laurence Martel
"It is not the strongest of the species that survives, nor the most intelligent that survives. It is the one that is the most adaptable to change.",Charles Darwin
You never achieve success unless you like what you are doing.,Dale Carnegie
"In order to create there must be a dynamic force, and what force is more potent than love?",Igor Stravinsky
You cannot teach a man anything; you can only help him to find it within himself.,Galileo
What is now proved was once only imagined.,William Blake
To be wronged is nothing unless you continue to remember it.,Confucius
 Everything that happens to you is your teacher. The secret is to learn to sit at the feet of your own life and be taught by it.,Polly B.Berends
All you have to do is know where you're going. The answers will come to you of their own accord.,Earl Nightingale
Action does not always bring happiness; but there is no happiness without action.,Benjamin Disraeli
Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do.,Mark Twain
What will you do today that will matter tomorrow?,Ralph Marston
Opportunity waits between things ended and things begun,Kobi Yamada
"When you’re through learning, you’re through",Vernon Law
"Successful people are always looking for opportunities to help others. Unsuccessful people are always asking, 'What's in it for me?'",Brian Tracy
We spend most of our lives working. So why do so few people have a good time doing ,Richard Branson
"When you do the common things in life in an uncommon way, you will command the attention of the world.",George Washington Carver
The art of being wise is the art of knowing what to overlook.,William James
The mind moves in the direction of our currently dominant thoughts.,Earl Nightingale
"I remember the story of the old man who said on his deathbed that he had a lot of trouble in his life, most of which had never happened.",Winston Churchill
The future is sending back good wishes and waiting with open arms.,Kobi Yamada 
You must remain focused on your journey to greatness.,Les Brown
"The more you seek security, the less of it you have. But the more you seek opportunity, the more likely it is that you will achieve the security that you desire.",Brian Tracy
The indispensable first step to getting the things you want out of life is this: decide what you want.,Ben Stein
"When I let go of what I am, I become what I might be.",Lao Tzu
The time is always right to do what is right.,Dr. Martin Luther King
In memory everything seems to happen to music.,Tennessee Williams
Defeat is not the worst of failures. Not to have tried is the true failure.,George Woodbury
"We become just by performing just actions, temperate by performing temperate actions, brave by performing brave actions.",Aristotle
I never failed once. It just happened to be a 2000-step process.,Thomas Edison
"The greater the obstacle, the more glory in overcoming it.",Jean-Baptist Moliere
Motivation is what gets you started. Habit is what keeps you going.,Jim Rohn
Kindness is the language which the deaf can hear and the blind can see.,Mark Twain
Effort only fully releases its reward after a person refuses to quit.,Napoleon Hill
There are only two ways to live your life. One is as though nothing is a miracle. The other is as if everything is.,Albert Einstein
The ladder of success is never crowded at the top.,Napoleon Hill
"The great essentials to happiness in this life are something to do, something to love and something to hope for. ",Joseph Addison 
"The real voyage of discovery consists not in seeking new landscapes, but in having new eyes.",Marcel Proust